locations,lat,lng
"3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia",3.0727565,101.6080194
"90, Jln Cheras, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1277418,101.7239618
"Jalan Tanjung Bandar Utama, Kampung Sungai Kayu Ara, Petaling Jaya, Selangor, Malaysia",3.1352708,101.6034976
"Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",3.0654434,101.6044514
"Persiaran Tun Dr. Ismail Jalan Kluang Parit Raja, 86400 Batu Pahat, Johor, Malaysia",1.8565058,103.0821795
