,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
92,"Jalan Alamanda, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9395291,101.7106171,GEOMETRIC_CENTER,ChIJRdkIxt_JzTERBh81g8-8zvk,"establishment,point_of_interest,shopping_mall",62000,Alamanda Shopping Centre[78],1,OK
93,"mms Gadget, 1, Jalan Tun Abdul Razak, Presint 3, 62100 Putrajaya, Malaysia",2.9198142,101.6839546,ROOFTOP,ChIJl1nEwTW2zTER2b0ajb2kpMQ,"establishment,health,pharmacy,point_of_interest,store",62100,Suria Mall Putrajaya,1,OK
94,"Management Office, Unit T2-3A-3 & Unit T2-3A-3A level 3A IOI City Tower Two Lebuh IRC, Ioi Resort, 62502 Putrajaya, Selangor, Malaysia",2.9706561,101.7136778,GEOMETRIC_CENTER,ChIJQWjHIQzKzTERgAEUgEQ4mCw,"establishment,point_of_interest,shopping_mall",62502,IOI City Mall Putrajaya[79],1,OK
95,"3, Jln Dato' Onn 3, Bandar Dato Onn, 81100 Johor Bahru, Johor, Malaysia",1.5639876,103.7344668,ROOFTOP,ChIJ2St8mxxu2jERTeACpDMGci4,"establishment,point_of_interest,shopping_mall",81100,AEON Mall Bandar Dato' Onn,1,OK
96,"Jalan Premium Outlets, Bandar Indahpura, 81000 Kulai, Johor, Malaysia",1.6028941,103.6214825,GEOMETRIC_CENTER,ChIJi9eLLjp32jERCIzJKhsQF7k,"establishment,point_of_interest,shopping_mall",81000,Johor Premium Outlets,1,OK
97,"Southkey, 81100 Johor Bahru, Johor, Malaysia",1.5009581,103.7773778,GEOMETRIC_CENTER,ChIJtc_vgOFs2jERtTpxahI--kw,"establishment,point_of_interest,shopping_mall",81100,Mid Valley Southkey,1,OK
98,"Lot 3FK-12J, third floor, Paradigm Mall, Jalan Bertingkat Skudai, 81200 Johor Bahru, Johor, Malaysia",1.5168375,103.685325,ROOFTOP,ChIJIf-ff_9y2jERb19MfG9Nuw0,"establishment,point_of_interest,shopping_mall",81200,Paradigm Mall Johor Bahru,1,OK
99,,,,,,,,R&F Mall,0,ZERO_RESULTS
100,"Pusat Komersial Sunway Marketplace, Persiaran Medini 5, Sunway, 79250 Nusajaya, Johor, Malaysia",1.3972123,103.6286544,GEOMETRIC_CENTER,ChIJTRUlEvsJ2jERXZwBkeEWloo,"establishment,point_of_interest,shopping_mall",79250,Sunway Big Box,1,OK
101,"Toppen Shopping Centre, No. 33A, Jln Harmonium, Taman Desa Tebrau, 81100 Johor Bahru, Johor, Malaysia",1.5526948,103.7985511,ROOFTOP,ChIJ5eu_6p9u2jERBYoI5dwLfzY,"establishment,point_of_interest,shopping_mall",81100,Toppen Shopping Centre,1,OK
102,"69, Jalan Ali, Pekan Muar, 84000 Muar, Johor, Malaysia",2.0442051,102.5664675,ROOFTOP,ChIJqam9lw-50TERvkqdhvcILoM,"establishment,point_of_interest,shopping_mall",84000,Wetex Parade,1,OK
103,"Lot G51 & G52 Ground Floor Batu Pahat Mall, Jalan Kluang, Kampung Beroleh, 83000 Batu Pahat, Johor, Malaysia",1.8638514,102.9620855,GEOMETRIC_CENTER,ChIJvSc_pbFQ0DER0627YD-67RQ,"establishment,health,pharmacy,point_of_interest,store",83000,Batu Pahat Mall,1,OK
104,"1201 Broadway, Saugus, MA 01906, USA",42.4608341,-71.0274472,ROOFTOP,ChIJudr69F9y44kRcygDx9L4yAY,"establishment,point_of_interest,shopping_mall",01906,Square One Mall,1,OK
105,"88, Jalan Bakau Condong, Kampung Pegawai, 83000 Batu Pahat, Johor, Malaysia",1.8576681,102.9346164,ROOFTOP,ChIJp9hnB81W0DER_rYnnlBxPyc,"establishment,point_of_interest,shopping_mall",83000,The Summit Batu Pahat,1,OK
106,"Grand Mezzanine, 8, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor, Malaysia",1.4817523,103.6557625,ROOFTOP,ChIJt0xtwktz2jERRS2DKtCZfp0,"establishment,point_of_interest,shopping_mall",81200,�ON Mall Bukit Indah,1,OK
107,"Taman Universiti, 81300 Skudai, Johor, Malaysia",1.534054,103.621729,APPROXIMATE,ChIJvQvy12x02jERQ1RlloKAHx4,"political,sublocality,sublocality_level_1",81300,�ON Taman Universiti Shopping Centre,1,OK
108,"EKO GALLERIA, 3, Jalan Eko Botani 3/2, TAMAN EKO BOTANI, 79100 Nusajaya, Johor, Malaysia",1.4413451,103.6167703,ROOFTOP,ChIJB4cAQkAL2jERvgdvHAln7I0,"establishment,point_of_interest,shopping_mall",79100,Eco Galleria (Opening in 2021),1,OK
109,"Mall of Medini, 79100 Nusajaya, Johor, Malaysia",1.4290229,103.6331061,ROOFTOP,ChIJTWnN_ogL2jER_vHyehiA0K4,premise,79100,Mall of Medini,1,OK
110,"3, Jln Persisiran Perling, Taman Perling, 81200 Johor Bahru, Johor, Malaysia",1.4967001,103.6809575,ROOFTOP,ChIJHy20ih9z2jERrDl0bzQ2xwQ,"establishment,premise",81200,Perling Mall,1,OK
111,"Skudai, Johor, Malaysia",1.5343616,103.6594267,APPROXIMATE,ChIJ-YGBIc5z2jERrMBtmA4SwAc,"locality,political",,Skudai Parade[80],1,OK
112,"Pusat Komersial Sunway Marketplace, Persiaran Medini 5, Sunway, 79250 Nusajaya, Johor, Malaysia",1.3972123,103.6286544,GEOMETRIC_CENTER,ChIJTRUlEvsJ2jERXZwBkeEWloo,"establishment,point_of_interest,shopping_mall",79250,Sunway Big Box[81],1,OK
113,"L3-086, Sutera Mall, 1, Jalan Sutera Tanjung 8/4, Taman Sutera Utama, 81300 Skudai, Johor, Malaysia",1.5176508,103.6715487,ROOFTOP,ChIJ5-YuwMFz2jERCJbqqo0ig0U,"establishment,point_of_interest,shopping_mall",81300,Sutera Mall[82],1,OK
114,"Plaza Tasek, 2, Jalan Pendekar 16, Taman Ungku Tun Aminah, 81300 Skudai, Johor, Malaysia",1.5144949,103.6558659,ROOFTOP,ChIJMzC4uXVz2jERDMi3_zkpoB0,"establishment,point_of_interest,shopping_mall",81300,Tasik Central[83],1,OK
115,"155 Dorset St, South Burlington, VT 05403, USA",44.4658817,-73.184102,ROOFTOP,ChIJ7ad-fzR6ykwRsKcl0xIGe4o,"establishment,point_of_interest,shopping_mall",05403,U Mall,1,OK
116,"Bandar Dato Onn, Johor Bahru, Johor, Malaysia",1.5632732,103.7410752,APPROXIMATE,ChIJw2VafpV22jERvnPgWVwc5kU,"political,sublocality,sublocality_level_1",,�ON Mall Bandar Dato' Onn,1,OK
117,"Jalan 14/17, Seksyen 14, 46100 Petaling Jaya, Selangor, Malaysia",3.1091099,101.637092,GEOMETRIC_CENTER,ChIJL1DQlOBLzDERdyz6BPjUSxY,"establishment,food,grocery_or_supermarket,point_of_interest,shopping_mall,store,supermarket",46100,�ON Permas Jaya Shopping Centre,2,OK
118,"G29 & 30, AEON Mall Tebrau City No. 1, Jalan Desa Tebrau, Taman Desa Tebrau, 81100 Johor Bahru, Johor, Malaysia",1.5494617,103.7958733,GEOMETRIC_CENTER,ChIJAwcNvJBu2jERWkNlEBOFETQ,"bakery,establishment,food,point_of_interest,store",81100,�ON Mall Tebrau City,1,OK
119,"L3-31A LEVEL 3, ANGSANA JOHOR BAHRU MALL,81200 JOHOR BAHRU, Bandar Baru Uda, 81200 Johor Bahru, Johor, Malaysia",1.4949273,103.7057484,GEOMETRIC_CENTER,ChIJH9Llir9y2jERFryY-pcx09Y,"establishment,point_of_interest,shopping_mall",81200,Angsana Johor Bahru Mall,1,OK
120,"No.01-01, Shopping Mall Ground Floor, Bay Point Persiaran Danga Perdana Country Garden, Danga Bay, 80200 Johor Bahru, Johor, Malaysia",1.4631843,103.7284801,GEOMETRIC_CENTER,ChIJEbcwvM8N2jER44RtBXa_ZmU,"establishment,movie_theater,point_of_interest,shopping_mall",80200,Beletime Danga Bay[84],1,OK
121,"Jalan Tun Abdul Razak L4 Danga City Mall, Wadi Hana, 80000 Johor Bahru, Johor, Malaysia",1.4753051,103.7547592,GEOMETRIC_CENTER,ChIJcRMOrssS2jERU2e2AZOthDk,"establishment,point_of_interest",80000,Danga City Mall (Temporarily closed for renovations),1,OK
122,"Jalan Trus, UTC, 80000 Johor Bahru, Johor, Malaysia",1.4594943,103.7630603,GEOMETRIC_CENTER,ChIJj17Dt8IS2jERpo41GcSpoJE,"establishment,point_of_interest,shopping_mall",80000,Galleria@Kotaraya[85],1,OK
123,"2256 Haverhill Rd, West Palm Beach, FL 33417, USA",26.7111247,-80.1170355,ROOFTOP,ChIJKx_9e-op2YgRJJX3ICu9afE,"establishment,lodging,point_of_interest,rv_park",33417,Holiday Plaza,1,OK
124,"106, Jalan Wong Ah Fook, Bandar Johor Bahru, 80000 Johor Bahru, Johor, Malaysia",1.461799,103.7639603,ROOFTOP,ChIJpfDsy9wS2jERrbLjDm0_BFY,"establishment,premise",80000,Johor Bahru City Square,1,OK
125,"KOMTAR JBCC, City Centre, 80000 Johor Bahru, Johor, Malaysia",1.4639632,103.7627382,GEOMETRIC_CENTER,ChIJIyLLVcMS2jER0xwvgEmFUk4,"establishment,point_of_interest,shopping_mall",80000,Komtar JBCC,1,OK
126,"33, Jalan Seladang, Taman Abad, 80250 Johor Bahru, Johor, Malaysia",1.4854384,103.7628811,ROOFTOP,ChIJZ6EbFTBt2jERflX9tqaEOF0,"establishment,point_of_interest,shopping_mall",80250,KSL City Mall,1,OK
127,"Lot 3FK-12J, third floor, Paradigm Mall, Jalan Bertingkat Skudai, 81200 Johor Bahru, Johor, Malaysia",1.5168375,103.685325,ROOFTOP,ChIJIf-ff_9y2jERb19MfG9Nuw0,"establishment,point_of_interest,shopping_mall",81200,Paradigm Mall Johor Bahru[87],1,OK
128,"135, Jalan Tampoi, Kampung Bahru Majidee, 81100 Johor Bahru, Johor, Malaysia",1.5147302,103.7433824,ROOFTOP,ChIJVYHWPTJt2jERwzbuMKY3FDQ,"establishment,point_of_interest,shopping_mall",81100,Paragon Market Place[88],1,OK
129,"Lot 3.29 & 3.29A, Level, 3, Jalan Kuning, Taman Pelangi, 80400 Johor Bahru, Johor, Malaysia",1.4799714,103.7652664,ROOFTOP,ChIJEVipoi1t2jERSAPBSPOsOpg,"establishment,point_of_interest,shopping_mall",80400,Plaza Pelangi,1,OK
130,"Jalan Sutera, Taman Sentosa, 80150 Johor Bahru, Johor, Malaysia",1.4922183,103.7683756,ROOFTOP,ChIJ6_yz6CNt2jERkrQk9jAFC8U,"establishment,premise",80150,Plaza Sentosa,1,OK
131,,,,,,,,R&F Mall Johor Bahru,0,ZERO_RESULTS
132,"Jalan Persiaran Senibong, Bandar Baru Permas Jaya, 81750 Johor Bahru, Johor, Malaysia",1.4864549,103.8096492,GEOMETRIC_CENTER,ChIJD4bLtLps2jERgzxSMHeMagg,"establishment,point_of_interest",81750,Stellar Walk,1,OK
133,"Batu 13 3/4, Jalan Kota Tinggi, 81800 Ulu Tiram, Johor, Malaysia",1.6086539,103.821166,ROOFTOP,ChIJyTOORDVv2jERXgIKHliQDmE,"establishment,point_of_interest,shopping_mall",81800,Today's Mall,1,OK
134,"Toppen Shopping Centre, No. 33A, Jln Harmonium, Taman Desa Tebrau, 81100 Johor Bahru, Johor, Malaysia",1.5526948,103.7985511,ROOFTOP,ChIJ5eu_6p9u2jERBYoI5dwLfzY,"establishment,point_of_interest,shopping_mall",81100,Toppen Shopping Centre[89],1,OK
135,"Jln Rambutan, Taman Suria, 86000 Kluang, Johor, Malaysia",2.0400737,103.3205798,GEOMETRIC_CENTER,ChIJF0wwO65t0DERDAwUFJpUux8,"establishment,point_of_interest,shopping_mall",86000,Kluang Mall[90],1,OK
136,"Kluang, Johor, Malaysia",2.030068,103.3184639,APPROXIMATE,ChIJiWlmFDps0DERrE-AQYLA1c8,"locality,political",,Kluang Parade,1,OK
137,"1895 14th Ave SE, Albany, OR 97322, USA",44.63004850000001,-123.0820771,ROOFTOP,ChIJAeZwgLxswFQRRi6WRVV1z8w,"establishment,point_of_interest,shopping_mall",97322,Heritage Mall,1,OK
138,"G 53, Plaza, Pusat Perdagangan Kota Tinggi, 81900 Kota Tinggi, Johor, Malaysia",1.7305938,103.9025016,GEOMETRIC_CENTER,ChIJIbVElDVh2jERQ2WYYo0LDJg,"clothing_store,establishment,point_of_interest,store",81900,Plaza Kota Tinggi,1,OK
139,"Kulai District, Johor, Malaysia",1.6582668,103.6060338,APPROXIMATE,ChIJhej7KXx42jERTqMJvRTHEWE,"administrative_area_level_3,political",,�ON Mall Kulaijaya,1,OK
140,"LG-01, Lower Ground Floor, Lebuh Putra Utama, Bandar Putra Kulai, 81000 Kulai, Johor, Malaysia",1.6481162,103.6265492,GEOMETRIC_CENTER,ChIJmQ5JFMx72jER6SVA4Lu05ds,"establishment,point_of_interest,shopping_mall",81000,IOI Mall Kulai[91],2,OK
141,"Jalan Premium Outlets, Bandar Indahpura, 81000 Kulai, Johor, Malaysia",1.6028941,103.6214825,GEOMETRIC_CENTER,ChIJi9eLLjp32jERCIzJKhsQF7k,"establishment,point_of_interest,shopping_mall",81000,Johor Premium Outlets[92],1,OK
142,"Lot 1566, 20, Jln Besar, Taman Mewah, 81000 Kulai, Johor, Malaysia",1.661671,103.603182,ROOFTOP,ChIJcdGR_KV52jER0QGlXt-kusE,"establishment,point_of_interest,shopping_mall",81000,Kulai Centre Point[93],1,OK
143,"69, Jalan Ali, Pekan Muar, 84000 Muar, Johor, Malaysia",2.0442051,102.5664675,ROOFTOP,ChIJqam9lw-50TERvkqdhvcILoM,"establishment,point_of_interest,shopping_mall",84000,Wetex Parade[94],1,OK
144,"16, Jalan Petrie, Taman Sri Tanjung, 84000 Muar, Johor, Malaysia",2.0461191,102.5633197,ROOFTOP,ChIJB34rpBq50TERBy1wPWFM71E,"establishment,point_of_interest",84000,Muar Trade Centre[95],1,OK
145,"Bandar Penawar, 81930 Kota Tinggi, Johor, Malaysia",1.5737522,104.2063891,GEOMETRIC_CENTER,ChIJVQ9aqDtM2jERBke0FwaS1kg,"establishment,point_of_interest,shopping_mall",81930,SKS City Mall,1,OK
146,"Pontian Plaza, Kampung Atap, 82000 Pontian District, Johor, Malaysia",1.4812175,103.3922154,ROOFTOP,ChIJDcEel3eY0DERf0b8w22jlXg,premise,82000,Plaza Pontian,1,OK
147,"Segamat Central Shopping Centre, Jln Kolam Air, Kampung Gubah, 85000 Segamat District, Johor, Malaysia",2.5097601,102.8118128,GEOMETRIC_CENTER,ChIJGcBipS7TzzERyqPdjm-UbBg,"establishment,point_of_interest,shopping_mall",85000,Segamat Central(formerly One Segamat Mall)[96],2,OK
148,,,,,,,,U Sentral Shopping Centre[97],0,ZERO_RESULTS
149,"Lot F29, Ground Floor, Alor Setar Mall, Kaw Perusahaan, Tandop, 05400 Alor Setar, Kedah, Malaysia",6.0813007,100.3608513,GEOMETRIC_CENTER,ChIJDUwp1nFESzAReousEvPJIGI,"establishment,health,pharmacy,point_of_interest,store",05400,Alor Setar Mall,1,OK
150,"Aman Central, 1, Darul Aman Hwy, Kampung Lubok Peringgi, 05100 Alor Setar, Kedah, Malaysia",6.1248637,100.3667935,ROOFTOP,ChIJpRemiblESzARdkytmmL-ofQ,"establishment,point_of_interest,shopping_mall",05100,Aman Central[98],1,OK
151,"133 Trinity Ave SW, Atlanta, GA 30303, USA",33.7490106,-84.3918199,ROOFTOP,ChIJjaxHa4MD9YgRiFw9e1lKeiY,"establishment,point_of_interest",30303,City Plaza,1,OK
152,"Swami jairamdas building Opp Basant park police stn, 3V2V+7CC, शिवसाई को हा सोसायटी, Sindhi Society, Chembur, Mumbai, Maharashtra 400071, India",19.0506991,72.8935047,GEOMETRIC_CENTER,ChIJ-xXEt6jI5zsRM-AGUDTNWlw,"establishment,food,point_of_interest,restaurant",400071,Star Parade,1,OK
153,"Jalan Putra, Bandar Alor Setar, 05150 Alor Setar, Kedah, Malaysia",6.1222064,100.3637236,GEOMETRIC_CENTER,ChIJ2UuRCrtESzAR-6b9dN2fKNo,"electronics_store,establishment,point_of_interest,store",05150,Sentosa Plaza,1,OK
154,"29, Pekan Jitra 3, Pekan Jitra, 06000 Jitra, Kedah, Malaysia",6.261108999999999,100.4185303,ROOFTOP,ChIJ36e7SjVYSzARzYYwpAKfgNg,"establishment,point_of_interest,shopping_mall",06000,Jitra Mall,1,OK
155,"Kulim Landmark Central, 09000 Kulim, Kedah, Malaysia",5.3856544,100.5467376,GEOMETRIC_CENTER,ChIJ2URlB_bLSjAR0bwuwNORo1w,"establishment,point_of_interest,shopping_mall,store",09000,Kulim Landmark Central[99],2,OK
156,"Lot 2605, Cenang, Mukim, Jalan Pantai Chenang, Kampung Lubok Buaya, 07000 Langkawi, Kedah, Malaysia",6.2907234,99.7278025,GEOMETRIC_CENTER,ChIJKW5Pt96HSzARGGghnTvlAnI,"establishment,point_of_interest,shopping_mall",07000,Cenang Mall,1,OK
157,"Persiaran Putra Kuah, Kuah, 07000 Langkawi, Kedah, Malaysia",6.3097561,99.85595719999999,GEOMETRIC_CENTER,ChIJ2Rx4voCASzARDUgXoCXXD-o,"establishment,point_of_interest,shopping_mall",07000,Langkawi Fair Shopping Mall[100],1,OK
158,"21, Lorong Tiram, 07000 Kuah, Kedah, Malaysia",6.3272016,99.83838759999999,ROOFTOP,ChIJw8y-HWl_TDARPcxEZf3K_9Y,"clothing_store,department_store,electronics_store,establishment,food,grocery_or_supermarket,point_of_interest,shopping_mall,store,supermarket",07000,Langkawi Parade [101],1,OK
159,"Amanjaya, 08000 Sungai Petani, Kedah, Malaysia",5.6425186,100.5451707,APPROXIMATE,ChIJB26VaQ4qSzAR2MTxXJNU9KY,"political,sublocality,sublocality_level_1",08000,Amanjaya Mall[102],1,OK
160,,,,,,,,Central Square[103],0,ZERO_RESULTS
161,"Taman Sejati Indah, 08000 Sungai Petani, Kedah, Malaysia",5.612924,100.4849021,GEOMETRIC_CENTER,ChIJfZL1tUrWSjARoYglzxmHPc0,"establishment,point_of_interest,shopping_mall",08000,Petani Parade[104],1,OK
162,"Taman Sri Tanjung, 08000 Sungai Petani, Kedah, Malaysia",5.6451449,100.4887891,GEOMETRIC_CENTER,ChIJ60JydtIpSzAROEnKcT8pKnI,"establishment,point_of_interest,shopping_mall",08000,SP Plaza[105],1,OK
163,,,,,,,,Village Mall[106],0,ZERO_RESULTS
164,"15200 Kota Bharu, Kelantan, Malaysia",6.124785,102.2543825,APPROXIMATE,ChIJM28dhNivtjERiXVvwYYZJb8,"locality,political",15200,�ON Mall Kota Bharu[107],1,OK
165,"PT101 &102, 1, Jalan Hamzah, Seksyen 16, 15050 Kota Bharu, Kelantan, Malaysia",6.117460599999999,102.2401375,ROOFTOP,ChIJ46TVO5CvtjERw5To4Somqtw,"establishment,point_of_interest,shopping_mall",15050,KB Mall [1],1,OK
166,"LOT 2138, WISMA G ORANGE, TUNJUNG, BATU 4 1/2, 15050 Kota Bharu, Kelantan, Malaysia",6.065843,102.238763,GEOMETRIC_CENTER,ChIJqUnR2vavtjERQ8H9p3mRNK8,"electronics_store,establishment,furniture_store,hardware_store,home_goods_store,point_of_interest,shopping_mall,store",15050,G-Orange Mall Tunjong,1,OK
167,"Jalan Pasir Puteh, Kota Sri Mutiara 97, 15000, Kota Bharu, Bandar Kota Bharu, 15150 Kota Bharu, Kelantan, Malaysia",6.112997399999999,102.2500503,GEOMETRIC_CENTER,ChIJcYILOOGvtjERj9BOPL0jFyY,"establishment,point_of_interest",15150,Kota Seri Mutiara Shopping Centre,1,OK
168,"Lot 5644, Jalan Buluh Kubu, Bandar Kota Bharu, 15000 Kota Bharu, Kelantan, Malaysia",6.129268700000001,102.2393905,ROOFTOP,ChIJg0RHbM-vtjER343XQBw1dCw,"establishment,point_of_interest,shopping_mall",15000,Kota Bharu Trade Centre (KBTC) Kota Bharu,1,OK
169,"Jalan Kemus / Sempang Ampat, 78000 Alor Gajah, Melaka, Malaysia",2.4435074,102.2045586,GEOMETRIC_CENTER,ChIJ7eg6HasDzjERCs5TACadUM4,"establishment,point_of_interest,shopping_mall",78000,Freeport A'Famosa Outlet[108],1,OK
170,"G26 & F31, Lebuh Ayer Keroh, 75450 Melaka, Malaysia",2.231643,102.2824164,ROOFTOP,ChIJRUQNwJXv0TER_BU8-rdIuzM,"establishment,point_of_interest,shopping_mall",75450,�ON Mall Melaka (Ayer Keroh),1,OK
171,"Malacca, Malaysia",2.189594,102.2500868,APPROXIMATE,ChIJ3WWMjifu0TERagGedoFyKgM,"locality,political",,�ON Mall Bandaraya Melaka,1,OK
172,"Jln Merdeka, Bandar Hilir, 75000 Melaka, Malaysia",2.189751,102.252619,GEOMETRIC_CENTER,ChIJhXSb5-Dx0TERyKwfXu_R9LE,"establishment,point_of_interest,shopping_mall",75000,Dataran Pahlawan Melaka Megamall[109],1,OK
173,"Jalan Melaka Raya 23, Hatten City, 75000 Melaka, Malaysia",2.1826318,102.2627254,GEOMETRIC_CENTER,ChIJe41XzwTu0TERWyzxuEakSZE,"establishment,point_of_interest,shopping_mall",75000,Elements Mall Malacca[110],1,OK
174,"Jalan Hang Tuah, 75300 Melaka, Malaysia",2.2025536,102.2478661,GEOMETRIC_CENTER,ChIJd5APvdDx0TER9zhA8atVsbI,"establishment,point_of_interest,shopping_mall",75300,Hang Tuah Plaza,1,OK
175,"Hatten Square, Jln Merdeka, Taman Costa Mahkota, 75000 Malacca, Malaysia",2.1892815,102.2519395,GEOMETRIC_CENTER,ChIJcTCHCOHx0TER4G3mZonKf8M,"establishment,food,point_of_interest,restaurant,shopping_mall",75000,Hatten Square[111],1,OK
176,"192, Melaka Raya, 75000 Malacca, Malaysia",2.1821085,102.2616243,GEOMETRIC_CENTER,ChIJ_WhWncnv0TERPFuySTt-gI0,"establishment,point_of_interest,shopping_mall",75000,Imperio mall[112],1,OK
177,,,,,,,,K7 Community Mall,0,ZERO_RESULTS
178,,,,,,,,Mahkota Parade[113],0,ZERO_RESULTS
179,"Malacca, Malaysia",2.189594,102.2500868,APPROXIMATE,ChIJ3WWMjifu0TERagGedoFyKgM,"locality,political",,Melaka Mall (formerly Kotamas),2,OK
180,"Jalan Tun Ali, 75300 Melaka, Malaysia",2.2076596,102.2450682,GEOMETRIC_CENTER,ChIJE7fLPtLx0TERAp-ij6Txk8k,"department_store,establishment,finance,food,grocery_or_supermarket,movie_theater,point_of_interest,shopping_mall,store",75300,Soon Seng Plaza,1,OK
181,"105, Jln Merdeka, Taman Melaka Raya, 75000 Melaka, Malaysia",2.1893499,102.2535295,ROOFTOP,ChIJS58QpOHx0TERz6n0DErg8jM,"establishment,point_of_interest,shopping_mall",75000,Terminal Pahlawan (Melaka wholesale city) [114],1,OK
182,"193, Pinggiran @ Sungai Melaka, Jalan Persisiran Bunga Raya, Kampung Bunga Paya Pantai, 75100 Melaka, Malaysia",2.2018593,102.2503009,GEOMETRIC_CENTER,ChIJCRqgSNfx0TERyquQAWjDFn0,"establishment,point_of_interest,shopping_mall",75100,The Shore Shopping Gallery[115],1,OK
183,"Nilai, Negeri Sembilan, Malaysia",2.802455,101.7988711,APPROXIMATE,ChIJV8KgnyfEzTERL7kSmaec_sM,"locality,political",,�ON Mall Nilai[116],1,OK
184,"Persiaran Ilmu, Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan, Malaysia",2.824634,101.7784865,GEOMETRIC_CENTER,ChIJN7EK_JLGzTERZxVcqpdLtwQ,"establishment,point_of_interest,shopping_mall",71800,MesaMall Nilai[117],1,OK
185,,,,,,,,Regina Mall[118],0,ZERO_RESULTS
186,"Seremban 2, 70300 Seremban, Negeri Sembilan, Malaysia",2.6902865,101.9077089,APPROXIMATE,ChIJYwiKq8fnzTERF0uYJnJgrxY,"political,sublocality,sublocality_level_1",70300,�ON Seremban 2 Shopping Centre[119],1,OK
187,"33, Jalan Dato Siamang Gagap, Betaria Business Centre, 70100 Seremban, Negeri Sembilan, Malaysia",2.7228949,101.955192,ROOFTOP,ChIJEymTi4zdzTERdVnybvURBKo,"establishment,point_of_interest,shopping_mall",70100,Centrepoint Seremban Shopping Mall[120],1,OK
188,"Era Square, 70200 Seremban, Negeri Sembilan, Malaysia",2.725947,101.9316442,APPROXIMATE,ChIJ-ZjwrXndzTERdvW5svfdosE,"political,sublocality,sublocality_level_1",70200,Era Square,1,OK
189,"Jalan Tuanku Munawir, Bandar Seremban, 70000 Seremban, Negeri Sembilan, Malaysia",2.7232489,101.9373923,ROOFTOP,ChIJrYKPLILdzTER78R2yiiDGZM,"establishment,point_of_interest,premise,shopping_mall",70000,KM Plaza,1,OK
190,,,,,,,,Palm Mall[121],0,ZERO_RESULTS
191,"Lebuhraya Seremban - Bukit Nenas, 70200 Seremban, Negeri Sembilan, Malaysia",2.7167752,101.9194177,GEOMETRIC_CENTER,ChIJU3JplYnnzTERm2AvZ9YUdtM,"establishment,point_of_interest,shopping_mall",70200,Seremban Gateway,1,OK
192,"Seremban, Negeri Sembilan, Malaysia",2.725889,101.9378239,APPROXIMATE,ChIJn9DV6gXezTER6jFwFfY4PFY,"locality,political",,Seremban Prima[122],1,OK
193,"Jalan Lintang, Bandar Seremban, 70000 Seremban, Negeri Sembilan, Malaysia",2.7220551,101.9370344,GEOMETRIC_CENTER,ChIJM5cwioHdzTERrun_Tkdtn7k,"establishment,point_of_interest,shopping_mall",70000,Terminal One Mall[123],1,OK
194,"Awana Transport Hub Genting Highlands Resorts, 69000 Genting Highlands, Pahang, Malaysia",3.404295,101.7832708,GEOMETRIC_CENTER,ChIJe3CFsT0UzDERHul0m-p7sW0,"establishment,point_of_interest",69000,Awana SkyCentral[126],1,OK
195,"Genting Highlands, 69000 Genting Highlands, Pahang, Malaysia",3.4229492,101.7934354,GEOMETRIC_CENTER,ChIJ235KkwAUzDERH3vgvWTDy4w,"establishment,point_of_interest,shopping_mall",69000,First World Plaza[127],1,OK
196,"KM13, 69000 Genting Highlands, Pahang, Malaysia",3.4033765,101.7831159,GEOMETRIC_CENTER,ChIJQwP5jDwUzDERqbMpmoMrOxU,"establishment,point_of_interest,shopping_mall",69000,Genting Highlands Premium Outlet[128][129],1,OK
197,"Resorts World Genting, Genting Highlands, 69000 Genting Highlands, Pahang, Malaysia",3.4250433,101.7963925,GEOMETRIC_CENTER,ChIJnS8ZEgEUzDERPCZ8T9g2rvs,"establishment,point_of_interest,shopping_mall",69000,SkyAvenue[130],1,OK
198,"Level 8 Menara Khuan Choo 75A, Jalan Raja Chulan, Bukit Bintang, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1502134,101.7121302,GEOMETRIC_CENTER,ChIJz7ywUSs2zDERB7yr1X51wdM,"establishment,general_contractor,point_of_interest",50200,Pavilion Genting Highlands[131] (Opening soon),1,OK
199,"G33, (Ground Floor), Berjaya Megamall, Jalan Tun Ismail, 25000, Kuantan, Pahang, 25000 Kuantan, Pahang, Malaysia",3.8152359,103.3300424,GEOMETRIC_CENTER,ChIJQ8uNAZG6yDERxj6Er1okPwQ,"establishment,point_of_interest,shopping_mall",25000,Berjaya Megamall,1,OK
200,,,,,,,,East Coast Mall[132],0,ZERO_RESULTS
201,"Jalan Haji Abdul Rahman, 25000 Kuantan, Pahang, Malaysia",3.8050068,103.3231327,GEOMETRIC_CENTER,ChIJmwiZg3-7yDEREO95KCC8QEc,"establishment,point_of_interest,shopping_mall",25000,Kuantan Parade[133],1,OK
202,"Jalan Putra Square 6, 1, Level 5, Putra Square, 25300 Kuantan, Pahang, Malaysia",3.817596299999999,103.3275975,ROOFTOP,ChIJL8ndyJO6yDERPPk1Ik4szJc,"establishment,point_of_interest,shopping_mall",25300,Kuantan City Mall[134],1,OK
203,,,,,,,,Teruntum Complex,0,ZERO_RESULTS
