,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
21,"Jalan Hang Jebat, City Centre, 50150 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1413046,101.7018253,GEOMETRIC_CENTER,ChIJIb9ql_BJzDER62cimj0Uw7Q,"establishment,point_of_interest,shopping_mall",50150,118 Mall[17] (Opening in 2022),1,OK
22,"No.1, Persiaran Jalil 1 Bandar Bukit Jalil, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0541402,101.670016,GEOMETRIC_CENTER,ChIJyeLLY-dKzDEROShjSMmhWZE,"clothing_store,establishment,point_of_interest,shopping_mall,store",57000,Aurora Place Mall[18],1,OK
23,"Pusat Bandar, 2, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0502474,101.670999,ROOFTOP,ChIJ1WK28udKzDERlczc3oAKZCQ,"establishment,point_of_interest,real_estate_agency,shopping_mall",57000,Pavilion Bukit Jalil[19],1,OK
24,"7, Jalan Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1440649,101.7099624,ROOFTOP,ChIJYYacASk2zDERh3Iqf0NTR1g,"establishment,point_of_interest,shopping_mall",55100,Inside Low Yat Plaza,1,OK
25,"1-01, 100, Jalan 4/91, Taman Shamelin Perkasa, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1220753,101.7400684,ROOFTOP,ChIJY1Zv3m82zDERcvJ69kHY4iw,"establishment,point_of_interest,shopping_mall",56100,1 Shamelin Shopping Centre[20],1,OK
26,"Maluri, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.13422,101.7277009,APPROXIMATE,ChIJQ9jUDj82zDERM1QtQtwVkX0,"political,sublocality,sublocality_level_1",,�ON Taman Maluri Shopping Centre[21],1,OK
27,"Lingkaran SV, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.127871400000001,101.7248453,GEOMETRIC_CENTER,ChIJwYo9AhQ2zDERokwJnyvbwhY,"establishment,point_of_interest,shopping_mall",55100,Sunway Velocity Mall[22],1,OK
28,,,,,,,,Viva Home[23],0,ZERO_RESULTS
29,"Level 3, Jalan Manis 6, Taman Bukit Segar, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0905814,101.7421175,ROOFTOP,ChIJm1EIWx01zDERxrth90qvHkQ,"establishment,point_of_interest,shopping_mall",56100,Cheras Leisure Mall[24],1,OK
30,"Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0787772,101.7447049,GEOMETRIC_CENTER,ChIJQyguwK41zDERImQvNoDevks,"establishment,point_of_interest,shopping_mall",56000,Cheras Sentral Mall[25],1,OK
