locations,lat,lng
"Tangkak, Johor, Malaysia",2.271093,102.5419882
"Pagoh, Johor, Malaysia",2.149223,102.7721509
"PLUS Expressway Exit, Lebuhraya Utara-Selatan, 71900 Seremban, Negeri Sembilan, Malaysia",2.7649922,101.8299179
"PLUS Expressway Exit, Lebuhraya Utara-Selatan, 71900 Seremban, Negeri Sembilan, Malaysia",2.7649922,101.8299179
"Persiaran RTC, 31600 Kampung Kepayang, Perak, Malaysia",4.4926297,101.1534387
"Rest & Service Area Tapah, KM 331.50, Lebuhraya Utara - Selatan, 35000 Tapah, Perak, Malaysia",4.1774783,101.2902805
