locations,lat,lng,weight
"Jalan Telok Cempedak, 25050 Kuantan, Pahang, Malaysia",3.81218,103.36307,1
"2, Jalan Sri Sarawak 18, Taman Sri Andalas, 41200 Klang, Selangor, Malaysia",3.01613,101.44392,1
"40000 Shah Alam, Selangor, Malaysia",3.07978,101.50776,1
"1, Jalan SS 15/3a, Ss 15, 47500 Subang Jaya, Selangor, Malaysia",3.07926,101.58642,1
"No. 148-149, Pusat Bandar Puchong Jalan Bandar 3, 148, Off, Jln Puchong, Pusat Bandar Puchong, 47100 Puchong, Selangor, Malaysia",3.03485,101.61588,1
"Jalan Taman Komersial Senawang, Taman Komersil Senawang, 70450 Seremban, Negeri Sembilan, Malaysia",2.70319,101.98557,1
"4, Jalan Pendidikan, Taman Universiti, 81300 Johor Bahru, Johor, Malaysia",1.54312,103.62904,1
"Persiaran Perdana, Bandar Sri Damansara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.19208,101.61665,1
"Lot 13309, 11, Jalan Bertingkat Skudai, Kawasan Perusahaan Tampoi, 81200 Johor Bahru, Johor, Malaysia",1.50019,103.69737,1
"Jalan Mewah Utara, Taman Pandan Mewah, 68000 Ampang, Selangor, Malaysia",3.12713,101.76408,1
"Jalan Puchong Permai 2, Taman Puchong Permai, 47100 Puchong, Selangor, Malaysia",3.00917,101.59958,1
"Jalan Nirwana 37, Taman Nirwana, 68000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.14803,101.75217,1
"MK 11, 4, Lebuhraya Utara - Selatan, 06000 Jitra, Kedah, Malaysia",6.36556,100.423,1
"93, Jalan Imbi, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.14366,101.71268,1
"24300 Kerteh, Terengganu, Malaysia",4.53869,103.42806,1
"Jalan Cecawi 6/18a, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",3.16068,101.57406,1
"40706, Jln Anggerik Vanilla 31/94, Kota Kemuning, 40460 Shah Alam, Selangor, Malaysia",3.00438,101.54074,1
"Lorong Karamunsing, Karamunsing, 88100 Kota Kinabalu, Sabah, Malaysia",5.9707,116.07499,1
"5730, Jalan Jelawat, Bandar Seberang Jaya, 13700 Perai, Pulau Pinang, Malaysia",5.39972,100.40064,1
"12-1, Dinasti Sentral, Maju 19, Off, 58200, Jalan Kuchai Lama, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.09084,101.69058,1
"Jalan Cendekiawan 1, 43009 Kajang, Selangor, Malaysia",2.96648,101.72841,1
"1, Persiaran Batu Nilam, Bandar Bukit Tinggi 1, 41200 Klang, Selangor, Malaysia",3.00694,101.43364,1
"Lot 36327, Jalan PJU 10/1, Damansara Damai, 47000 Sungai Buloh, Selangor, Malaysia",3.19494,101.59138,1
"105615, Jalan Pesona, Taman Pelangi Indah, 81800 Ulu Tiram, Johor, Malaysia",1.58257,103.80102,1
"38, 22, Jalan 7a/2, Bandar Tasik Puteri, 48000 Rawang, Selangor, Malaysia",3.28334,101.47299,1
"Lebuhraya Kuala Lumpur - Seremban, Taman Teknologi Malaysia, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.05415,101.70498,1
"1-1-01 & 1-1-02, Lot A3, 4, Jalan Udini, 11700 Jelutong, Penang, Malaysia",5.37742,100.31545,1
"The Curve, 6, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor, Malaysia",3.15795,101.61301,1
"2, Jalan Equine, Taman Equine, 43300 Seri Kembangan, Selangor, Malaysia",2.99572,101.67023,1
"517, 7, Jln Lingkaran Tengah 2, 54200 Kuala Lumpur, Selangor, Malaysia",3.20495,101.75775,1
"No. PT 1021 & PT, 1022, Jalan Aman, Desa Aman Puri, 47000 Kuala Lumpur, Selangor, Malaysia",3.2082,101.61472,1
"Taman Nusa Bestari Jaya, Skudai, Johor, Malaysia",1.50134,103.65394,1
"Jalan Alamanda, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.93953,101.71062,1
"1150, Jalan Kasturi 36/41, Asiatic Indahpura Car City, 81000 Kulai, Johor, Malaysia",1.6377,103.62669,1
"S02, 2nd Floor, AEON Seremban 2 Shopping Centre, 112, Persiaran S2 B1, Seremban 2, 70300 Seremban, Negeri Sembilan, Malaysia",2.70138,101.91195,1
"Jalan Pontian, Taman Sri Pulai Perdana, 81300 Johor Bahru, Johor, Malaysia",1.56411,103.61429,1
"Lebuhraya Baru Lembah Klang & Lebuhraya Utara - Selatan, 47810 Petaling Jaya, Selangor, Malaysia",3.17797,101.60037,1
"Lot 318, Jalan Kolam Air Lama, Ampang Jaya, Taman Dato Ahmad Razali, 68000 Ampang Jaya, Selangor, Malaysia",3.16018,101.75441,1
"Jln Merdeka, Bandar Hilir, 75000 Melaka, Malaysia",2.18975,102.25262,1
"135893, Jalan Roda Utama, 81200 Johor Bahru, Johor, Malaysia",1.52352,103.67848,1
"100, Persiaran Bayan Indah, Queens Bay, 14300 Bayan Lepas, Pulau Pinang, Malaysia",5.33305,100.30653,1
"Jalan Suasana 2/2, Tun Hussein Onn, 43200 Cheras, Selangor, Malaysia",3.05235,101.76542,1
"F27, Lebuh Tun Hussein Onn, Tun Hussein Onn, 43200 Cheras, Selangor, Malaysia",3.03313,101.76493,1
"Lot 114, Jalan Lumut, Setiawangsa, 32010 Seri Manjung, Perak, Malaysia",4.19947,100.65534,1
"Jalan Gopeng, 31350 Ipoh, Perak, Malaysia",4.51668,101.13659,1
"2, Jalan 22/6, Seksyen 22, 40400 Shah Alam, Selangor, Malaysia",3.04037,101.5475,1
"Taman Melati, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.22181,101.72566,1
"2, Jalan Cemerlang 4, Banting Business Centre, 42700 Banting, Selangor, Malaysia",2.81342,101.50884,1
"S48 Second Floor AEON Bukit Tinggi Shopping Centre No1, KS 6, Persiaran Batu Nilam 1, Bandar Bukit Tinggi 2, 41200 Klang, Selangor, Malaysia",2.99357,101.44437,1
"868, Jalan Perindustrian Bukit Minyak, 14100 Bukit Mertajam, Pulau Pinang, Malaysia",5.3169,100.454,1
"Plaza Melaka Sentral, Melaka, Malaysia",2.22103,102.24907,1
"Kota Kinabalu, Sabah, Malaysia",5.98041,116.07346,1
"4, Jalan BRP 3/3, Bukit Rahman Putra, 40160 Shah Alam, Selangor, Malaysia",3.22492,101.55594,1
"5, Jln Cheras, Cheras, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.10673,101.73024,1
"Terminal 1, 88200 Kota Kinabalu, Sabah, Malaysia",5.92437,116.05036,1
"Labuan Airport, Lapangan Terbang Labuan, Jalan Tun Mustapha, 87015 Labuan, Wilayah Persekutuan Labuan, Malaysia",5.29444,115.24925,1
"Jalan Seri Alam, Bandar Baru Seri Alam, 81750 Masai, Johor, Malaysia",1.50279,103.87423,1
"PTD 68518, Persiaran Bangi, Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia",2.96182,101.75804,1
"Jalan Tan Swee Hoe, Taman Flora Utama, 83000 Batu Pahat, Johor, Malaysia",1.86363,102.94906,1
"Lot 5017, McDonald's, Jalan Changkat Jong, 36000 Teluk Intan, Perak, Malaysia",4.01737,101.02751,1
"G-22, Ground Floor, 36, Jalan Istana Larut, 34000 Taiping, Perak, Malaysia",4.86588,100.7312,1
"Klang Sentral Terminal A, Persiaran Klang Sentral 1/Ku5, Klang Sentral, 42200 Klang, Selangor, Malaysia",3.1091,101.43821,1
"Arrivals, KLIA Terminal, Kuala Lumpur International Airport, 43900 Sepang, Selangor, Malaysia",2.75457,101.70377,1
"Prima Saujana, 43000 Kajang, Selangor, Malaysia",3.00758,101.80839,1
"Leboh Ayer Keroh, Melaka International Trade Centre, 75450 Ayer Keroh, Melaka, Malaysia",2.27248,102.28527,1
"PT101 &102, 1, Jalan Hamzah, Seksyen 16, 15050 Kota Bharu, Kelantan, Malaysia",6.11705,102.24016,1
"Lebuhraya Damansara - Puchong, Malaysia",3.08727,101.6131,1
"Bandar Perda, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",5.36654,100.43415,1
"Jalan Bandar, Kawasan Perindustrian Pasir Gudang, 81700 Pasir Gudang, Johor, Malaysia",1.47354,103.90798,1
"1, 1, Jalan Niaga 11, Kampung Makam, 81900 Kota Tinggi, Johor, Malaysia",1.72889,103.9024,1
"Sunway City Ipoh, Tambun, Perak, Malaysia",4.61978,101.14674,1
"PT 1134, Persiaran Pusat Bandar, Putra Point, 71800 Nilai, Negeri Sembilan, Malaysia",2.8226,101.79381,1
"Jln Lingkaran Tengah 2, 52100, Selangor, Malaysia",3.21515,101.63148,1
"57, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor, Malaysia",1.48159,103.65775,1
"686, Jalan Pasir Puteh, 31650 Ipoh, Perak, Malaysia",4.54254,101.07042,1
"Puncak Alam, 45010, Selangor, Malaysia",3.21855,101.42824,1
"Jalan Batu Sinar, Taman Bandar Baru, Kampar, Perak, Malaysia",4.32589,101.14395,1
"City Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",3.14897,101.61612,1
"Sibu, Sarawak, Malaysia",2.28728,111.83054,1
"Lot 5993, Block 11, K.B.L.D. Desa Indah, 3, Jln Tudan, Bandar Baru Permyjaya, 98000 Miri, Sarawak, Malaysia",4.47173,114.04296,1
"Jalan Baru Pak Sabah, 23000 Kuala Dungun, Terengganu, Malaysia",4.75555,103.41337,1
"28, Jalan Klc 1, Kampung Keladi, 09000 Kulim, Kedah, Malaysia",5.38495,100.54608,1
"22a, Jalan Kesum, Taman Istimewa, 81100 Johor Bahru, Johor, Malaysia",1.52902,103.76857,1
"Lot G & H Caltex Bandar Puteri, Lot 133826, Lebuh Sanggul Satu, Ks7 Bandar Puteri, 41200 Klang, Selangor, Malaysia",2.98856,101.46605,1
"697, Jalan Batu Ferringhi, 11100 Ayer Itam, Pulau Pinang, Malaysia",5.47963,100.26127,1
"Jalan Teluk Piah Kanan, Kampung Telok Piai, 45000 Kuala Selangor, Selangor, Malaysia",3.31515,101.28274,1
"Lot 69683, Jalan PJU 7/5, Mutiara Damansara, 47800 Petaling Jaya, Selangor, Malaysia",3.15817,101.6137,1
"KJ 590 Taman PKNS Beranang, Jalan Semenyih, 43700 Beranang, Selangor, Malaysia",2.89148,101.87084,1
"83300, Johor, Malaysia",1.83228,103.02417,1
"1, Jalan Seri Tg Pinang, Seri Tanjung Pinang, 10470 Tanjung Tokong, Pulau Pinang, Malaysia",5.45894,100.30875,1
"1, Jln Haruan 2, 70300 Seremban, Negeri Sembilan, Malaysia",2.71156,101.91533,1
"Jalan Austin Heights 3, Taman Mount Austin, 81100 Johor Bahru, Johor, Malaysia",1.56088,103.78027,1
"Jalan Setia Tropika 1/21, Setia Tropika, 81200 Johor Bahru, Johor, Malaysia",1.54824,103.71361,1
"75, Jalan Inang 3, Taman Paya Rumput Jaya, 76450 Melaka, Malaysia",2.28078,102.21564,1
"Lot S2, Melaka Mall Complex, Jalan Tun Razak, Lebuh Ayer Keroh, 75450 Ayer Keroh, Malacca, Malaysia",2.23194,102.28173,1
"Pintasan Dengkil By Pass, Selangor, Malaysia",2.87567,101.67437,1
"1, Jalan PJU 1a/48, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",3.11219,101.57907,1
"Block 7, 1050, Jalan Bulan Sabit, 98000 Miri, Sarawak, Malaysia",4.4121,114.00283,1
"97, Jln Besar, 34800 Terong, Perak, Malaysia",4.714,100.71942,1
"Jln. Kuala Kangsar, 31400, Perak, Malaysia",4.64724,101.10153,1
"Lot 97, Blok D4, Tingkat Bawah Bandar Utama, Batu, 6, Jalan Utara, 90000 Sandakan, Sabah, Malaysia",5.86559,118.05597,1
"27, Jalan PD, 71010 Port Dickson, Negeri Sembilan, Malaysia",2.56026,101.81169,1
"Mile 4, 91000, Jalan Apas, 91000 Tawau, Sabah, Malaysia",4.25189,117.89702,1
"Kompleks Menara MARA, 232, Jalan Tuanku Abdul Rahman, Chow Kit, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.15805,101.69586,1
"88000, Jalan Sulaman, 89200 Kota Kinabalu, Sabah, Malaysia",6.10075,116.17392,1
"Persiaran Setia Dagang, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",3.10947,101.46022,1
"Jalan Delima, Pontian Kecil, 82000 Pontian, Johor, Malaysia",1.47839,103.39006,1
"Persiaran Klebang Putra, 31200 Ipoh, Perak, Malaysia",4.68597,101.12087,1
"Lot PT 3358, 31, Persiaran Raja Muda Musa, 41200 Klang, Selangor, Malaysia",3.03439,101.4401,1
"Pantai Cenang, 07000, Kedah, Malaysia",6.29559,99.72281,1
"Bandar Indera Mahkota, 25200 Kuantan, Pahang, Malaysia",3.82076,103.29697,1
"Seri Iskandar, Perak, Malaysia",4.35904,100.98494,1
"Bukit Katil, Malacca, Malaysia",2.22801,102.29772,1
