locations,lat,lng,weight
"28, Tower 2, Jalan Rakyat, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1299436,101.6827087,0.270735021
"Level 6, Prima 9, Prima Avenue II, Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.9138486,101.6560974,0.270735021
"Pejabat Daerah dan Tanah Alor Gajah, 78000, Alor Gajah, Melaka, 78000 Alor Gajah, Malacca, Malaysia",2.383437,102.2107079,0.270735021
"Alor Gajah, Malacca, Malaysia",2.382211,102.2115611,0.270735021
"Pejabat Daerah dan Tanah Jasin, 77000, Jasin, Melaka, 77000 Jasin, Malacca, Malaysia",2.3062028,102.4228116,0.270735021
"Kampung Durian Daun, 75100 Malacca, Malaysia",2.2056636,102.2564447,0.270735021
"8 Lengkok Bahru, Singapore 159052",1.2865637,103.811373,0.270735021
"Jalan Kota, Kompleks Warisan, 75000 Melaka, Malaysia",2.1927154,102.2483259,0.270735021
"Stadium Hang Jebat Kompleks Sukan Negeri, Perbadanan Stadium Melaka Aras 1, 75260, Paya Rumput Krubong, Melaka, 75260 Krubong, Malacca, Malaysia",2.288852,102.2331075,0.270735021
"Bahgian Pengurusan Sumber Perikanan, 32, Persiaran Perdana, Presint 4, 62628 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9143961,101.6837792,0.270735021
"Lot 4G1, Precint 4,Federal Goverment Administration Centre, 62630, Putrajaya, Presint 3, 62000 Putrajaya, Malaysia",2.9158678,101.6826424,0.270735021
"Wisma LKIM, Pulau Meranti, Jalan Desaria, Selangor, Kampung Batu Sembilan, 47120 Puchong, Selangor, Malaysia",2.9725009,101.6384586,0.270735021
"Peti Surat 127, Bandar Kota Bharu, 15710 Kota Bharu, Kelantan, Malaysia",6.1068164,102.2631971,0.270735021
"5, Jalan Padi Mahsuri, Bandar Baru Uda, 81200 Johor Bahru, Johor, Malaysia",1.4997378,103.7111979,0.270735021
"Level 7 Tower 1, Menara Cyber Axis, Jalan Impact, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.9181183,101.6606033,0.270735021
"80, Jalan 1/112a, Taman Bukit Angkasa, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1099212,101.6732101,0.270735021
"Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.9224,101.659,0.270735021
"Menara Uoa Bangsar, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1278348,101.6782556,0.270735021
"20th Floor, Menara Ta One, 22, Jalan P. Ramlee, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1566999,101.7100252,0.270735021
"Aras 4-7, Galeria PJH, Jalan P4 W, Persiaran Perdana, 62100 Putrajaya, Malaysia",2.9128632,101.6841854,0.270735021
"Baru Selayang, 68100 Batu Caves, Selangor, Malaysia",3.2607338,101.6537356,0.270735021
"Jalan Ilmu 1/1, 40450 Shah Alam, Selangor, Malaysia",3.069724,101.5036726,0.270735021
"Kem, Sungai Besi, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0504628,101.7248331,0.270735021
"D3-06-01, Centre Court Persiaran Multimedia Cyber 10 Tamarind Square, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.9204786,101.6363363,0.270735021
"Jln Profesor Diraja Ungku Aziz, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1209046,101.6538414,0.270735021
"Exit Lebuhraya Changlun - Kuala Perlis, 02600 Arau, Perlis, Malaysia",6.4604292,100.351832,0.270735021
"Jln Datuk Mohammad Musa, 94300 Kota Samarahan, Sarawak, Malaysia",1.4666795,110.425148,0.270735021
"Universiti Pendidikan Sultan Idris, 35900 Tanjong Malim, Perak, Malaysia",3.685019,101.524086,0.270735021
"JALAN UNIVERSITI 1 Serdang, 43400 Seri Kembangan, Selangor, Malaysia",2.99932,101.707939,0.270735021
"11800 Gelugor, Penang, Malaysia",5.358315,100.3023473,0.270735021
"Jalan Hang Tuah Jaya, 76100 Durian Tunggal, Melaka, Malaysia",2.3137898,102.3211166,0.270735021
"Sintok, 06010 Bukit Kayu Hitam, Kedah, Malaysia",6.4484176,100.5096811,0.270735021
"Tingkat 8, Menara PjH, Menara PJH, 2, Jalan Tun Abdul Razak, Presint 2, 62000 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.928808,101.6870928,0.270735021
"Jalan Sultan Yahya Petra, Kampung Datuk Keramat, 54000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.170873,101.7182694,0.270735021
"Jalan Frim, Institut Penyelidikan Perhutanan Malaysia, 52109 Kuala Lumpur, Selangor, Malaysia",3.2354034,101.6328155,0.270735021
"Peninsular Malaysia, Malaysia",3.9743406,102.4380581,0.270735021
"Wisma Sumber Asli, 25, Persiaran Perdana, Presint 4, 62574 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9145499,101.6850477,0.270735021
"Level 9, Galeria PjH, Persiaran Perdana, Presint 4, 62100 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9126761,101.6841762,0.270735021
"Level 2, Unit 4A, Menara PjH, Menara PJH, 2, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",2.9288653,101.6869614,0.270735021
"3730, Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.9090721,101.6548113,0.270735021
"Kampus INSKEN, CoPlace 1, 2270, Jalan Usahawan 2, Cyber 6, 63000 Cyberjaya, Selangor, Malaysia",2.9266688,101.6624332,0.270735021
"Bangsar, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1125074,101.6684139,0.270735021
