locations
Midvalley Megamall
Berjaya Times Square
Suria KLCC
Great Eastern Mall[1]
Bangsar Village I & II[2]
Bangsar Shopping Centre[3]
NU Sentral[4]
Pavilion KL
Berjaya Times Square[5]
Bukit Bintang Plaza (Under renovation)
Fahrenheit 88[6]
Imbi Plaza
Kenanga Wholesale City[7]
Lot 10[8]
Malaysia Grand Bazaar[9]
Mitsui Shopping Park LaLaport Bukit Bintang City Centre[10]
Plaza Low Yat[11]
Pavilion Kuala Lumpur[12]
Sungei Wang Plaza[13]
The Exchange TRX[14] (Opening in 2022)[15]
The Starhill or Starhill Gallery[16]
118 Mall[17] (Opening in 2022)
Aurora Place Mall[18]
Pavilion Bukit Jalil[19]
Inside Low Yat Plaza
1 Shamelin Shopping Centre[20]
�ON Taman Maluri Shopping Centre[21]
Sunway Velocity Mall[22]
Viva Home[23]
Cheras Leisure Mall[24]
Cheras Sentral Mall[25]
EkoCheras Mall[26]
MyTOWN Shopping Centre[27]
8 Conlay[28] (Opening soon)
Avenue K Shopping Mall[29]
Intermark Mall[30]
M Podium KLCC (Opening soon)
Shoppes At Four Seasons Place[31]
Suria KLCC[32]
The Conlay[33] (Opening soon)
The LINC KL[34]
The Weld[35]
Damansara City Mall (DC Mall)[36]
Glo Damansara[37]
Pavilion Damansara Heights[38] (Opening in Q4 2022)
CapSquare Centre
City One Plaza[39]
Pertama Complex[40]
Quill City Mall[41]
SOGO Kuala Lumpur
Sunway Putra Mall
District K @ KL Digital City[42] (Coming soon)
Mutiara Complex[43]
Sungai Mas Plaza[44]
Plaza OUG
Pearl Point Shopping Mall & Pearl Shopping Gallery[45]
The Scott Garden
�ON Mall Metro Prima[46]
Brem Mall[47]
Kepong Village Mall[48]
KL Metropolis Lifestyle Mall[49] (Coming soon)
KL Midtown[50] (Coming soon)
Met Galleria[51] (Opening in 2023)
Mid Valley Megamall
The Gardens Mall[52]
KL Eco City Mall[53]
KL Gateway Mall[54]
Nexus Bangsar South[55]
The Sphere[56]
Pudu Plaza[57]
Pudu Sentral
Plaza Salak Park[58]
D'Immersione Avenue[59] (Opening in 2023)
Hartamas Shopping Centre[60]
Plaza Mont Kiara[61]
Publika Shopping Gallery[62]
United Point[63]
Solaris Parq The Mall[64] (Opening in 2025)
1 Mont Kiara[65]
163 Retail Park[66]
Setapak Central[67]
�ON AU2 (Setiawangsa) Shopping Centre[68]
Datum Jelatek Mall[69]
Endah Parade[70]
Plaza 63
M3 Mall[71]
KL East Mall[72]
Melawati Mall[73]
�ON Mall Wangsa Maju[74]
Wangsa Walk Mall[75]
Financial Park Labuan[76]
Labuan Times Square[77]
Alamanda Shopping Centre[78]
Suria Mall Putrajaya
IOI City Mall Putrajaya[79]
AEON Mall Bandar Dato' Onn
Johor Premium Outlets
Mid Valley Southkey
Paradigm Mall Johor Bahru
R&F Mall
Sunway Big Box
Toppen Shopping Centre
Wetex Parade
Batu Pahat Mall
Square One Mall
The Summit Batu Pahat
�ON Mall Bukit Indah
�ON Taman Universiti Shopping Centre
Eco Galleria (Opening in 2021)
Mall of Medini
Perling Mall
Skudai Parade[80]
Sunway Big Box[81]
Sutera Mall[82]
Tasik Central[83]
U Mall
�ON Mall Bandar Dato' Onn
�ON Permas Jaya Shopping Centre
�ON Mall Tebrau City
Angsana Johor Bahru Mall
Beletime Danga Bay[84]
Danga City Mall (Temporarily closed for renovations)
Galleria@Kotaraya[85]
Holiday Plaza
Johor Bahru City Square
Komtar JBCC
KSL City Mall
The Mall, Mid Valley Southkey[86]
Paradigm Mall Johor Bahru[87]
Paragon Market Place[88]
Plaza Pelangi
Plaza Sentosa
R&F Mall Johor Bahru
Stellar Walk
Today's Mall
Toppen Shopping Centre[89]
Kluang Mall[90]
Kluang Parade
Heritage Mall
Plaza Kota Tinggi
�ON Mall Kulaijaya
IOI Mall Kulai[91]
Johor Premium Outlets[92]
Kulai Centre Point[93]
Wetex Parade[94]
Muar Trade Centre[95]
SKS City Mall
Plaza Pontian
Segamat Central(formerly One Segamat Mall)[96]
U Sentral Shopping Centre[97]
Alor Setar Mall
Aman Central[98]
City Plaza
Star Parade
Sentosa Plaza
Jitra Mall
Kulim Landmark Central[99]
Cenang Mall
Langkawi Fair Shopping Mall[100]
Langkawi Parade [101]
Amanjaya Mall[102]
Central Square[103]
Petani Parade[104]
SP Plaza[105]
Village Mall[106]
�ON Mall Kota Bharu[107]
KB Mall [1]
G-Orange Mall Tunjong
Kota Seri Mutiara Shopping Centre
Kota Bharu Trade Centre (KBTC) Kota Bharu
Freeport A'Famosa Outlet[108]
�ON Mall Melaka (Ayer Keroh)
�ON Mall Bandaraya Melaka
Dataran Pahlawan Melaka Megamall[109]
Elements Mall Malacca[110]
Hang Tuah Plaza
Hatten Square[111]
Imperio mall[112]
K7 Community Mall
Mahkota Parade[113]
Melaka Mall (formerly Kotamas)
Soon Seng Plaza
Terminal Pahlawan (Melaka wholesale city) [114]
The Shore Shopping Gallery[115]
Kiara Square, Bahau
�ON Mall Nilai[116]
MesaMall Nilai[117]
Regina Mall[118]
�ON Seremban 2 Shopping Centre[119]
Angsana Seremban Mall, Ampangan
Centrepoint Seremban Shopping Mall[120]
Era Square
KM Plaza
Palm Mall[121]
Seremban Gateway
Seremban Prima[122]
Terminal One Mall[123]
Cameron Centrum, Brinchang[124]
Cameron Square, Brinchang
Cameron Fair Shopping Centre, Tanah Rata[125]
Awana SkyCentral[126]
First World Plaza[127]
Genting Highlands Premium Outlet[128][129]
SkyAvenue[130]
Pavilion Genting Highlands[131] (Opening soon)
Berjaya Megamall
East Coast Mall[132]
Kuantan Parade[133]
Kuantan City Mall[134]
Teruntum Complex
Gio Mall[135]
Temerloh Mall
TMG Temerloh
Mentakab Star Mall
Gurney Plaza at Gurney Drive, George Town, Penang
Straits Quay, a marina-cum-shopping mall at Tanjung Tokong, George Town, Penang
1st Avenue Mall
All Seasons Place
Bukit Jambul Complex[136]
D'Piazza Mall[137]
GAMA Supermarket & Departmental Store
GBS@Mayang[138]
Gurney Paragon
Gurney Plaza
ICT @ Komtar Digital Mall[139]
Island Plaza[140]
Komtar
M Mall O2O[141]
One Precinct[142]
Penang Plaza[143]
Penang Times Square
Prangin Mall
Queensbay Mall
Southbay Plaza[144]
Sunway Valley City Mall[145] (Opening soon)
Straits Quay
Udini Square
AEON Mall Bukit Mertajam[146]
Bukit Mertajam Wholesale City[147]
Design Village[148]
Megamal Pinang[149]
Pearl City Mall[150]
Sunway Carnival Mall[151]
AEON Midtown Falim at Falim IPOH
�ON Mall Ipoh Station 18
�ON Mall Kinta City
�ON Mall Klebang
�ON Midtown Falim[152]
Angsana Ipoh Mall[153]
IPOH Parade Mall at Jalan Sultan Abdul Jalil, Ipoh
IPOH Parade
Kompleks Yik Foong[154]
Perak IT Mall
Sunway Tambun[155] (Opening in 2023)
Tin Village Mall
Kampar Terminal Mall
Kerian Sentral Mall, Parit Buntar
�ON Mall Seri Manjung]
D'Mall, Seri Iskandar
�ON Mall Taiping[156]
Taiping Mall[157]
Taiping Sentral Mall[158]
Keningau Mall[159]
Harbour Mall Sandakan[160]
Eastern Plaza
1Borneo Hypermall
Centre Point Sabah[161]
Grand Merdeka[162]
Imago KK Times Square[163]
Jesselton Residences (Jesselton Duty Free Mall)
Karamunsing Complex[164]
Mega Long Mall[165]
Oceanus Waterfront Mall[166]
Plaza Shell[167]
Suria Sabah[168]
Sutera Avenue
Wisma Merdeka[169]
KK Plaza
City Mall
ITCC Penampang
Inanam Mall
88 Mall
EG Mall Inanam
Riverson The Walk
Bintulu Terminal Bus Station
City Point Mall[170]
Li Hua Plaza
Medan Mall[171]
Naim Street Mall[172]
Parkcity Commerce Square Mall[173]
Parkcity Mall[174]
The Spring Bintulu[175]
Times Square Mega Mall[176]
Boulevard Shopping Mall Bintulu
Aiman Mall (@iman Mall)[177]
Summer Mall[178]
La Promenade Mall[179]
�ON Mall Kuching Central
Aeroville Mall[180]
Boulevard Shopping Mall
CityOne Megamall
Crown Square
Eco Mall
Electra House
Farley Mall
Genesis Parade
Green Heights Mall
Hock Lee Centre (Under renovation)
Hopoh Shopping Centre
Kuching Sentral
Majma Mall
Matang Mall
Moyan Square
OneJaya Lifestyle Mall
One TJ ICT Shopping Complex
Papillon Street Mall
Plaza Merdeka Shopping Center
Riverside Shopping Complex
Sarawak Plaza
ST3 Shopping Mall
Tabuan Plaza
The Spring Shopping Mall
Tun Jugah Mall
Vivacity Megamall
Wisma Saberkas
Wisma Satok
Wisma Sentosa
Wisma Wan
Limbang Plaza
Bintang Megamall[181]
Boulevard Shopping Mall Miri
Imperial Mall
Miri Plaza
MYY Mall
Permaisuri Imperial City Mall
Permy Mall
Soon Hup Tower
Pelita Tunku
Medan Mall
Eastern Mall
Plaza Simanggang
Delta Mall
Medan Mall
Sarawak House Shopping Complex
Star Mega Mall
The Swan Square
Wisma Sanyan
Ampang Point[182]
Axis Atrium
Galaxy Ampang[183]
Pandan Capital Mall[184]
Spectrum Shopping Mall[185]
Bangi Gateway[186]
De Centrum Mall
Evo Bangi [187]
�ON Cheras Selatan Shopping Centre
BMC Mall (recently AEON Makhota Cheras)[188]
D'Pulze Shopping Centre[189]
Gem In Mall[190]
Shaftsbury Square Cyberjaya[191]
Metro Point Kajang[192]
Plaza Metro Kajang[193]
�ON Bukit Tinggi Shopping Centre at Klang
�ON Mall Bukit Raja
�ON Mall Bukit Tinggi
Centro Mall[194]
Galleri Klang Sentral
GM Klang Wholesale City[195]
Harbour Place
Klang Parade[196]
KSL Esplanade Mall[197] (Opening in 2022)
Shaw Centrepoint[198]
Central Plaza[199]
1 Utama Shopping Centre in Petaling Jaya
1 Utama
3 Damansara Shopping Mall
Amcorp Mall
Atria Shopping Gallery[200]
Empire City Mall
Evolve Concept Mall[201]
IPC Shopping Centre
Jaya One
Jaya Shopping Centre
Paradigm Mall Petaling Jaya
Sunway Giza[202]
The Curve
The Starling[203]
Tropicana Gardens Mall[204]
�ON Rawang Anggun Shopping Centre
Selayang Mall[205]
Selayang Capitol Complex[206]
Ecohill Walk Mall[207]
Gateway@klia2[208]
Mitsui Outlet Park KLIA Sepang[209]
�ON Taman Equine Shopping Centre
South City Plaza[210]
The Mines[211]
IOI City Mall
�ON Mall Shah Alam
Anggerik Mall[212]
Central i-City[213]
IRDKL Mall[214]
Kompleks PKNS Shah Alam[215]
Ole-Ole Shopping Centre[216]
Plaza Shah Alam[217]
Plaza Alam Sentral
SACC Mall Shah Alam[218]
Setia City Mall[219]
Star Avenue Lifestyle Mall[220]
Space U8 Mall
Da Men Mall[221]
Empire Shopping Gallery
IOI Mall Puchong Jaya
M Square Puchong [222]
Main Place Mall [223]
One City Mall[224]
Setia Walk, Puchong[225]
SS15 Courtyard[226]
Subang Parade
Sunway Pyramid
The Summit USJ [227]
Pallazo 19 Mall (formerly known as The 19 USJ City Mall) [228]
Quayside Mall[229]
Sanctuary Mall[230]
Kemaman Centre Point[231]
Mesra Mall, Kemasik[232]
Paya Bunga Square/Sentral[233]
KTCC Mall[234]
Mayang Mall[235] (Opening in Q3 2022)

